Deals Played,PIMC Hands,PIMC Wins,Basic Hands,Basic Wins,PIMC Win Rate,Basic Win Rate
10,10,4,11,3,0.4,0.2727272727272727
20,20,5,21,6,0.25,0.2857142857142857
30,30,8,31,10,0.26666666666666666,0.3225806451612903
40,41,14,42,12,0.34146341463414637,0.2857142857142857
50,52,19,52,17,0.36538461538461536,0.3269230769230769
60,63,24,62,20,0.38095238095238093,0.3225806451612903
70,75,32,72,26,0.4266666666666667,0.3611111111111111
80,85,36,82,29,0.4235294117647059,0.35365853658536583
90,95,42,92,35,0.4421052631578947,0.3804347826086957
100,105,45,103,38,0.42857142857142855,0.36893203883495146
110,116,48,113,45,0.41379310344827586,0.39823008849557523
120,126,53,123,47,0.42063492063492064,0.3821138211382114
130,137,60,133,50,0.43795620437956206,0.37593984962406013
140,147,62,143,53,0.4217687074829932,0.3706293706293706
150,157,64,153,60,0.40764331210191085,0.39215686274509803
160,167,67,163,65,0.40119760479041916,0.3987730061349693
170,178,71,174,69,0.398876404494382,0.39655172413793105
180,188,75,184,70,0.39893617021276595,0.3804347826086957
190,198,79,194,74,0.398989898989899,0.38144329896907214
200,208,83,204,77,0.39903846153846156,0.37745098039215685
210,218,90,215,79,0.41284403669724773,0.3674418604651163
220,228,98,225,82,0.4298245614035088,0.36444444444444446
230,238,102,235,86,0.42857142857142855,0.3659574468085106
240,248,105,245,89,0.42338709677419356,0.363265306122449
250,258,109,255,92,0.42248062015503873,0.3607843137254902
260,268,113,265,93,0.4216417910447761,0.35094339622641507
270,278,117,276,100,0.420863309352518,0.36231884057971014
280,288,119,286,104,0.4131944444444444,0.36363636363636365
290,299,123,296,108,0.411371237458194,0.36486486486486486
300,310,128,307,113,0.4129032258064516,0.36807817589576547
310,320,131,317,119,0.409375,0.3753943217665615
320,330,134,327,123,0.40606060606060607,0.3761467889908257
330,340,137,337,127,0.40294117647058825,0.3768545994065282
340,351,143,348,132,0.4074074074074074,0.3793103448275862
350,361,147,359,137,0.407202216066482,0.3816155988857939
360,371,149,369,139,0.40161725067385445,0.37669376693766937
370,381,157,380,143,0.4120734908136483,0.3763157894736842
380,391,161,390,145,0.4117647058823529,0.3717948717948718
390,401,166,400,150,0.4139650872817955,0.375
400,412,172,411,156,0.4174757281553398,0.3795620437956204
