Deals Played,PIMC Hands,PIMC Wins,Basic Hands,Basic Wins,PIMC Win Rate,Basic Win Rate
10,10,4,10,4,0.4,0.4
20,21,9,20,10,0.42857142857142855,0.5
30,31,12,31,14,0.3870967741935484,0.45161290322580644
40,42,19,41,17,0.4523809523809524,0.4146341463414634
50,52,26,51,21,0.5,0.4117647058823529
60,63,31,61,23,0.49206349206349204,0.3770491803278688
70,73,36,71,23,0.4931506849315068,0.323943661971831
80,83,41,81,26,0.4939759036144578,0.32098765432098764
90,94,46,92,31,0.48936170212765956,0.33695652173913043
100,104,48,102,34,0.46153846153846156,0.3333333333333333
110,114,52,112,38,0.45614035087719296,0.3392857142857143
120,124,60,122,40,0.4838709677419355,0.32786885245901637
130,134,63,132,45,0.4701492537313433,0.3409090909090909
140,145,68,142,46,0.4689655172413793,0.323943661971831
150,155,70,152,50,0.45161290322580644,0.32894736842105265
160,165,72,162,54,0.43636363636363634,0.3333333333333333
170,175,75,172,60,0.42857142857142855,0.3488372093023256
180,185,80,182,62,0.43243243243243246,0.34065934065934067
190,195,84,192,66,0.4307692307692308,0.34375
200,205,88,202,69,0.4292682926829268,0.3415841584158416
210,215,92,212,71,0.42790697674418604,0.33490566037735847
220,225,97,222,74,0.4311111111111111,0.3333333333333333
230,235,101,232,79,0.4297872340425532,0.34051724137931033
240,246,108,242,82,0.43902439024390244,0.33884297520661155
250,256,113,253,87,0.44140625,0.3438735177865613
260,266,115,263,90,0.4323308270676692,0.34220532319391633
270,276,122,273,94,0.4420289855072464,0.3443223443223443
280,286,126,283,98,0.4405594405594406,0.3462897526501767
290,298,130,293,103,0.436241610738255,0.3515358361774744
300,309,137,303,109,0.44336569579288027,0.35973597359735976
310,319,141,313,113,0.44200626959247646,0.3610223642172524
320,330,146,323,118,0.44242424242424244,0.3653250773993808
330,340,151,334,124,0.4441176470588235,0.3712574850299401
340,350,156,344,128,0.44571428571428573,0.37209302325581395
350,360,160,354,130,0.4444444444444444,0.3672316384180791
360,370,168,365,131,0.4540540540540541,0.3589041095890411
370,381,169,376,137,0.4435695538057743,0.36436170212765956
380,392,176,387,138,0.4489795918367347,0.35658914728682173
390,402,181,398,139,0.4502487562189055,0.3492462311557789
400,412,186,408,144,0.45145631067961167,0.35294117647058826
410,422,190,418,149,0.45023696682464454,0.35645933014354064
420,433,197,428,150,0.45496535796766746,0.35046728971962615
430,443,201,438,152,0.45372460496614,0.3470319634703196
440,453,205,449,158,0.45253863134657835,0.3518930957683742
450,464,214,459,162,0.46120689655172414,0.35294117647058826
460,474,216,469,165,0.45569620253164556,0.35181236673773986
470,484,221,481,167,0.45661157024793386,0.3471933471933472
480,494,226,491,169,0.4574898785425101,0.34419551934826886
490,505,229,501,174,0.4534653465346535,0.3473053892215569
500,515,234,511,176,0.45436893203883494,0.34442270058708413
510,526,237,521,178,0.4505703422053232,0.3416506717850288
520,536,243,531,182,0.4533582089552239,0.3427495291902072
530,546,247,542,187,0.4523809523809524,0.34501845018450183
540,556,251,552,191,0.45143884892086333,0.34601449275362317
550,566,256,563,197,0.45229681978798586,0.34991119005328597
560,577,259,573,202,0.4488734835355286,0.3525305410122164
570,587,262,584,205,0.4463373083475298,0.351027397260274
580,598,269,594,211,0.4498327759197324,0.3552188552188552
590,609,274,604,216,0.44991789819376027,0.3576158940397351
600,619,276,615,222,0.4458804523424879,0.36097560975609755
610,629,278,625,226,0.4419713831478537,0.3616
620,639,283,635,228,0.4428794992175274,0.3590551181102362
630,649,289,645,232,0.4453004622496148,0.35968992248062015
640,659,294,656,236,0.44613050075872535,0.3597560975609756
650,670,301,666,242,0.44925373134328356,0.3633633633633634
660,681,307,677,247,0.45080763582966227,0.36484490398818314
670,691,310,687,250,0.44862518089725034,0.363901018922853
680,702,318,697,254,0.452991452991453,0.36441893830703015
690,712,324,708,257,0.4550561797752809,0.3629943502824859
700,722,329,718,261,0.4556786703601108,0.3635097493036212
710,733,333,728,265,0.4542974079126876,0.364010989010989
720,743,339,739,269,0.45625841184387617,0.36400541271989173
730,753,342,749,273,0.4541832669322709,0.3644859813084112
740,763,345,759,275,0.4521625163826999,0.36231884057971014
750,773,349,769,280,0.4514877102199224,0.3641092327698309
760,784,357,780,284,0.45535714285714285,0.3641025641025641
770,794,361,790,289,0.45465994962216627,0.3658227848101266
780,804,365,800,294,0.4539800995024876,0.3675
790,814,370,810,300,0.45454545454545453,0.37037037037037035
800,824,374,820,303,0.4538834951456311,0.3695121951219512
810,834,377,830,304,0.4520383693045564,0.36626506024096384
820,844,379,840,305,0.4490521327014218,0.3630952380952381
830,855,384,850,309,0.44912280701754387,0.3635294117647059
840,865,386,860,313,0.446242774566474,0.363953488372093
850,875,388,872,317,0.44342857142857145,0.36353211009174313
860,885,390,883,320,0.4406779661016949,0.362400906002265
870,896,394,893,324,0.43973214285714285,0.3628219484882419
880,906,399,903,328,0.44039735099337746,0.36323366555924697
890,916,402,913,334,0.4388646288209607,0.3658269441401972
900,926,405,924,337,0.4373650107991361,0.3647186147186147
910,936,410,934,344,0.43803418803418803,0.3683083511777302
920,946,413,944,344,0.4365750528541226,0.3644067796610169
930,957,421,954,349,0.4399164054336468,0.3658280922431866
940,969,427,966,352,0.4406604747162023,0.36438923395445133
950,979,430,977,354,0.43922369765066394,0.3623336745138178
960,990,435,987,357,0.4393939393939394,0.3617021276595745
970,1000,440,997,360,0.44,0.36108324974924777
980,1011,444,1007,362,0.4391691394658754,0.35948361469712015
990,1021,448,1017,366,0.4387855044074437,0.35988200589970504
1000,1031,456,1027,370,0.4422890397672163,0.3602726387536514
1010,1041,462,1037,375,0.4438040345821326,0.36162005785920925
1020,1051,467,1047,378,0.44433872502378685,0.36103151862464183
1030,1061,470,1057,383,0.4429783223374175,0.3623462630085147
1040,1071,476,1067,386,0.4444444444444444,0.36176194939081535
1050,1081,481,1077,389,0.44495837187789083,0.36118848653667596
1060,1091,486,1087,394,0.4454628780934922,0.3624655013799448
1070,1101,489,1097,397,0.444141689373297,0.3618960802187785
1080,1112,492,1107,400,0.44244604316546765,0.36133694670280037
1090,1122,494,1117,401,0.44028520499108736,0.35899731423455683
1100,1132,497,1128,407,0.43904593639575973,0.3608156028368794
1110,1142,502,1138,413,0.4395796847635727,0.36291739894551844
1120,1152,504,1148,417,0.4375,0.3632404181184669
1130,1162,509,1158,419,0.4380378657487091,0.36183074265975823
1140,1173,516,1168,421,0.4398976982097187,0.3604452054794521
1150,1183,521,1178,427,0.44040574809805577,0.3624787775891341
1160,1193,527,1189,430,0.44174350377200333,0.3616484440706476
1170,1203,530,1199,435,0.4405652535328346,0.3628023352793995
1180,1214,537,1209,440,0.44233937397034595,0.3639371381306865
1190,1224,542,1219,443,0.44281045751633985,0.3634126333059885
1200,1234,547,1229,447,0.44327390599675853,0.36371033360455657
1210,1244,550,1240,450,0.44212218649517687,0.3629032258064516
1220,1254,554,1250,456,0.44178628389154706,0.3648
1230,1265,560,1262,459,0.4426877470355731,0.36370839936608557
1240,1275,564,1273,466,0.4423529411764706,0.36606441476826396
1250,1285,569,1283,468,0.44280155642023344,0.36477007014809043
1260,1296,572,1293,472,0.44135802469135804,0.36504253673627224
1270,1306,577,1303,476,0.44180704441041346,0.36531082118188796
1280,1317,583,1314,478,0.44267274107820803,0.3637747336377473
1290,1328,589,1324,483,0.4435240963855422,0.3648036253776435
1300,1338,592,1334,486,0.44245142002989535,0.36431784107946025
1310,1348,598,1345,492,0.443620178041543,0.3657992565055762
1320,1358,602,1355,497,0.44329896907216493,0.36678966789667894
1330,1368,608,1366,498,0.4444444444444444,0.3645680819912152
1340,1378,609,1376,502,0.44194484760522496,0.3648255813953488
1350,1389,614,1387,506,0.44204463642908565,0.36481614996395095
1360,1401,617,1397,509,0.44039971448965026,0.36435218324982105
1370,1411,623,1407,513,0.44153082919914954,0.3646055437100213
1380,1421,629,1417,516,0.4426460239268121,0.3641496118560339
1390,1431,635,1427,521,0.4437456324248777,0.36510161177295025
1400,1441,639,1437,523,0.44344205412907706,0.3639526791927627
1410,1451,644,1447,528,0.44383184011026877,0.3648928818244644
1420,1461,648,1457,531,0.44353182751540043,0.3644474948524365
1430,1471,649,1468,538,0.44119646498980286,0.36648501362397823
1440,1481,653,1478,543,0.44091829844699526,0.36738836265223274
1450,1491,657,1488,547,0.44064386317907445,0.36760752688172044
1460,1501,660,1499,552,0.4397068620919387,0.3682454969979987
1470,1511,663,1510,556,0.4387822634017207,0.36821192052980134
1480,1521,669,1520,559,0.43984220907297833,0.36776315789473685
1490,1531,672,1530,565,0.4389288047028086,0.369281045751634
1500,1541,675,1540,570,0.4380272550292018,0.37012987012987014
1510,1551,680,1550,572,0.4384268214055448,0.3690322580645161
1520,1561,682,1561,579,0.4368994234465087,0.3709160794362588
1530,1571,685,1572,582,0.43602800763844685,0.3702290076335878
1540,1581,687,1582,586,0.43453510436432635,0.37041719342604296
1550,1592,691,1592,587,0.43404522613065327,0.3687185929648241
1560,1602,694,1602,594,0.4332084893882647,0.3707865168539326
1570,1612,696,1613,597,0.4317617866004963,0.37011779293242403
1580,1622,700,1624,601,0.4315659679408138,0.37007389162561577
1590,1632,704,1634,602,0.43137254901960786,0.3684210526315789
1600,1642,708,1644,607,0.43118148599269185,0.36922141119221413
1610,1653,715,1654,611,0.4325468844525106,0.3694074969770254
1620,1663,719,1664,616,0.43235117257967526,0.3701923076923077
1630,1673,724,1674,619,0.4327555289898386,0.3697729988052569
1640,1683,726,1684,624,0.43137254901960786,0.37054631828978624
1650,1693,730,1694,628,0.43118724158298877,0.3707201889020071
1660,1704,735,1704,631,0.43133802816901406,0.3703051643192488
1670,1714,739,1714,633,0.43115519253208867,0.3693115519253209
1680,1724,743,1725,636,0.4309744779582367,0.36869565217391304
1690,1734,745,1735,643,0.42964244521337946,0.37060518731988473
1700,1744,749,1746,647,0.4294724770642202,0.37056128293241697
1710,1754,756,1757,648,0.43101482326111745,0.36881047239612974
1720,1764,762,1767,650,0.43197278911564624,0.3678551216751556
1730,1775,770,1777,654,0.43380281690140843,0.36803601575689365
1740,1785,775,1787,656,0.4341736694677871,0.36709569110240625
1750,1796,779,1798,662,0.43374164810690424,0.3681868743047831
1760,1807,786,1808,663,0.43497509684560043,0.36670353982300885
1770,1817,790,1819,667,0.43478260869565216,0.36668499175371083
1780,1827,792,1829,672,0.43349753694581283,0.36741388737014763
1790,1837,796,1839,672,0.43331518780620576,0.36541598694942906
1800,1847,803,1849,675,0.4347590687601516,0.3650621957815035
1810,1858,809,1859,679,0.4354144241119483,0.3652501344809037
1820,1868,813,1869,688,0.4352248394004283,0.3681112894596041
1830,1878,818,1879,693,0.4355697550585729,0.3688131985098457
1840,1888,822,1889,701,0.4353813559322034,0.3710958178930651
1850,1899,826,1901,705,0.43496577145866244,0.37085744345081534
1860,1909,831,1911,710,0.43530644316396017,0.3715332286760858
1870,1919,837,1922,715,0.4361646690984888,0.3720083246618106
1880,1929,842,1932,721,0.43649559357179885,0.37318840579710144
1890,1939,848,1942,723,0.4373388344507478,0.3722966014418126
1900,1949,849,1952,724,0.43560800410466904,0.3709016393442623
1910,1959,855,1962,727,0.43644716692189894,0.3705402650356779
1920,1969,860,1972,733,0.4367699339766379,0.37170385395537525
1930,1980,864,1982,740,0.43636363636363634,0.37336024217961655
1940,1990,867,1992,744,0.435678391959799,0.37349397590361444
1950,2000,871,2002,749,0.4355,0.3741258741258741
1960,2010,877,2012,752,0.436318407960199,0.37375745526838966
1970,2020,881,2023,755,0.43613861386138614,0.37320810677212063
1980,2031,882,2033,760,0.4342688330871492,0.37383177570093457
1990,2041,884,2043,765,0.43312101910828027,0.3744493392070485
2000,2052,892,2054,770,0.4346978557504873,0.3748782862706913
2010,2062,896,2064,775,0.43452958292919497,0.375484496124031
2020,2075,900,2074,777,0.43373493975903615,0.3746383799421408
2030,2085,905,2084,780,0.434052757793765,0.3742802303262956
2040,2097,911,2094,782,0.43443013829279925,0.3734479465138491
2050,2107,916,2104,784,0.43474133839582346,0.3726235741444867
2060,2117,918,2115,789,0.4336324988190836,0.3730496453900709
2070,2127,923,2128,793,0.43394452280206863,0.3726503759398496
2080,2138,928,2139,798,0.43405051449953225,0.37307152875175315
2090,2148,934,2149,802,0.43482309124767227,0.37319683573755236
2100,2158,938,2159,805,0.43466172381835033,0.37285780453913847
2110,2169,944,2169,809,0.4352236053480867,0.37298294144767175
2120,2179,951,2179,812,0.4364387333639284,0.3726480036714089
2130,2189,957,2189,816,0.4371859296482412,0.37277295568752855
2140,2199,959,2199,820,0.43610732150977716,0.3728967712596635
2150,2209,961,2210,824,0.435038478949751,0.3728506787330317
2160,2219,965,2221,826,0.4348805768364128,0.3719045475011256
2170,2229,972,2231,832,0.4360699865410498,0.3729269385925594
2180,2239,976,2241,837,0.4359088878963823,0.37349397590361444
2190,2249,978,2251,841,0.43485993775011117,0.3736117281208352
2200,2259,982,2261,844,0.434705621956618,0.3732861565678903
2210,2269,986,2271,847,0.4345526663728515,0.37296345222369
2220,2279,991,2282,853,0.4348398420359807,0.373794916739702
2230,2290,995,2292,857,0.4344978165938865,0.3739092495636998
2240,2301,1001,2302,863,0.4350282485875706,0.3748913987836664
2250,2311,1003,2313,866,0.4340112505408914,0.37440553393860787
2260,2321,1008,2323,868,0.43429556225764754,0.37365475678002585
2270,2331,1009,2334,875,0.43286143286143286,0.3748928877463582
2280,2341,1013,2345,879,0.4327210593763349,0.37484008528784646
2290,2351,1015,2355,882,0.43173117822203316,0.37452229299363055
2300,2361,1015,2365,886,0.4299025836509953,0.37463002114164906
2310,2371,1021,2376,891,0.4306199915647406,0.375
2320,2381,1025,2386,896,0.43049139017219656,0.3755238893545683
2330,2392,1027,2396,898,0.42934782608695654,0.3747913188647746
2340,2403,1030,2406,904,0.4286308780690803,0.37572734829592686
2350,2413,1033,2416,905,0.42809780356402816,0.3745860927152318
2360,2426,1043,2426,905,0.4299258037922506,0.37304204451772466
2370,2436,1046,2436,909,0.4293924466338259,0.3731527093596059
2380,2446,1049,2446,914,0.42886345053147995,0.37367130008176613
2390,2456,1051,2458,920,0.42793159609120524,0.3742880390561432
